Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",155.500000,-77.040000,180.000000,bottom
"C2","27pF","C_0402_1005Metric",220.630083,-94.323443,90.000000,bottom
"C3","27pF","C_0402_1005Metric",216.106562,-94.962187,90.000000,bottom
"C4","1u","C_0402_1005Metric",161.500000,-77.250000,0.000000,bottom
"C5","100n","C_0402_1005Metric",249.500000,-97.500000,0.000000,bottom
"C6","100n","C_0402_1005Metric",221.656562,-92.362187,90.000000,bottom
"C7","100n","C_0402_1005Metric",232.352868,-94.617943,0.000000,bottom
"C8","1u","C_0402_1005Metric",231.456562,-90.562187,90.000000,bottom
"C9","100n","C_0402_1005Metric",234.656562,-94.962187,0.000000,bottom
"C10","1u","C_0402_1005Metric",229.456562,-89.250000,180.000000,bottom
"C11","100n","C_0402_1005Metric",230.506562,-99.112187,0.000000,bottom
"C12","100n","C_0402_1005Metric",225.662100,-89.159736,90.000000,bottom
"C13","100n","C_0402_1005Metric",225.656562,-99.562187,-90.000000,bottom
"C14","100n","C_0402_1005Metric",220.621340,-92.359838,90.000000,bottom
"C15","100n","C_0402_1005Metric",229.456562,-88.250000,180.000000,bottom
"C16","100n","C_0402_1005Metric",234.656562,-93.962187,0.000000,bottom
"C17","10u","C_0805_2012Metric",158.500000,-79.500000,0.000000,bottom
"D1","D_Small","D_SOT-23_ANK",76.962000,-69.596000,-90.000000,bottom
"D2","D_Small","D_SOT-23_ANK",115.125500,-69.596000,-90.000000,bottom
"D3","D_Small","D_SOT-23_ANK",134.112000,-69.596000,-90.000000,bottom
"D4","D_Small","D_SOT-23_ANK",191.389000,-69.659500,-90.000000,bottom
"D5","D_Small","D_SOT-23_ANK",230.441500,-69.659500,-90.000000,bottom
"D6","D_Small","D_SOT-23_ANK",80.708500,-88.646000,-90.000000,bottom
"D7","D_Small","D_SOT-23_ANK",119.888000,-88.646000,-90.000000,bottom
"D8","D_Small","D_SOT-23_ANK",158.051500,-88.646000,-90.000000,bottom
"D9","D_Small","D_SOT-23_ANK",196.024500,-88.646000,-90.000000,bottom
"D10","D_Small","D_SOT-23_ANK",238.000000,-90.250000,-90.000000,bottom
"D11","D_Small","D_SOT-23_ANK",87.884000,-108.077000,-90.000000,bottom
"D12","D_Small","D_SOT-23_ANK",110.299500,-108.077000,-90.000000,bottom
"D13","D_Small","D_SOT-23_ANK",148.399500,-108.077000,-90.000000,bottom
"D14","D_Small","D_SOT-23_ANK",186.563000,-108.077000,-90.000000,bottom
"D15","D_Small","D_SOT-23_ANK",234.355691,-108.858660,-90.000000,bottom
"D16","D_Small","D_SOT-23_ANK",96.043750,-126.555500,-90.000000,bottom
"D17","D_Small","D_SOT-23_ANK",145.161000,-126.492000,-90.000000,bottom
"D18","D_Small","D_SOT-23_ANK",215.138000,-126.555500,-90.000000,bottom
"D19","D_Small","D_SOT-23_ANK",234.124500,-126.555500,-90.000000,bottom
"D20","LED","LED_0402_1005Metric",226.643214,-101.553044,90.000000,bottom
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",155.632447,-111.759999,180.000000,bottom
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",118.500000,-75.500000,180.000000,bottom
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",192.750000,-75.500000,180.000000,bottom
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",240.750000,-75.500000,180.000000,bottom
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",240.750000,-111.750000,180.000000,bottom
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",192.750000,-111.750000,180.000000,bottom
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",118.500000,-111.750000,180.000000,bottom
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",70.500000,-111.750000,180.000000,bottom
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_2",70.538549,-75.498224,180.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",152.250000,-75.250000,180.000000,bottom
"J1","Conn_01x02","PinHeader_1x02_P1.27mm_Vertical",249.520000,-106.750000,90.000000,bottom
"J2","WS2812-Strip","PinHeader_1x03_P2.54mm_Vertical",60.546930,-76.941939,-90.000000,bottom
"J3","WS2812-Strip","Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",92.921655,-73.236662,90.000000,bottom
"J4","Conn_01x02","PinHeader_1x02_P1.27mm_Vertical",249.479003,-88.899999,90.000000,bottom
"J5","78171-0004","Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical",100.772875,-73.258684,-90.000000,bottom
"R1","5.1k","R_0805_2012Metric",144.500000,-60.250000,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",166.500000,-60.250000,180.000000,bottom
"R3","27","R_0402_1005Metric",232.256562,-93.362187,180.000000,bottom
"R4","27","R_0402_1005Metric",232.256562,-92.162187,180.000000,bottom
"R5","1k","R_0402_1005Metric",248.000000,-102.250000,90.000000,bottom
"R6","10k","R_0805_2012Metric",248.750000,-99.750000,180.000000,bottom
"R8","10k","R_0402_1005Metric",234.256562,-92.362187,-90.000000,bottom
"R9","1k","R_0402_1005Metric",225.643214,-101.553044,-90.000000,bottom
"R10","5.1k","R_0402_1005Metric",149.000000,-75.750000,0.000000,bottom
"R11","10k","R_0402_1005Metric",149.000000,-74.750000,180.000000,bottom
"SW1","SW_Push","SW_SPST_B3U-1000P",248.920000,-88.900000,180.000000,bottom
"SW2","SW_Push","SW_SPST_B3U-1000P",248.870000,-106.750000,180.000000,bottom
"U1","XC6206P332MR","SOT-23",158.500000,-76.250000,180.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",245.000000,-94.000000,0.000000,bottom
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",226.656562,-94.362187,90.000000,bottom
"U4","SRV05-4","SOT-23-6",153.250000,-64.500000,180.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",155.575000,-56.070500,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",218.356562,-94.762187,90.000000,bottom
